feature,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note
order_status_paid_count_lag_28d,order,source_lag,lagged,order_status_paid_count_lag_28d,low,fill_0,Generated candidate feature: order_status_paid_count_lag_28d
order_status_paid_count_lag_365d,order,source_lag,lagged,order_status_paid_count_lag_365d,low,fill_0,Generated candidate feature: order_status_paid_count_lag_365d
order_status_paid_count_rolling_7d_mean,order,source_lag,lagged,order_status_paid_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_paid_count_rolling_7d_mean
order_status_paid_count_rolling_28d_mean,order,source_lag,lagged,order_status_paid_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_paid_count_rolling_28d_mean
order_status_paid_count_rolling_90d_mean,order,source_lag,lagged,order_status_paid_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_paid_count_rolling_90d_mean
order_status_returned_count_lag_1d,order,source_lag,lagged,order_status_returned_count_lag_1d,low,fill_0,Generated candidate feature: order_status_returned_count_lag_1d
order_status_returned_count_lag_7d,order,source_lag,lagged,order_status_returned_count_lag_7d,low,fill_0,Generated candidate feature: order_status_returned_count_lag_7d
order_status_returned_count_lag_14d,order,source_lag,lagged,order_status_returned_count_lag_14d,low,fill_0,Generated candidate feature: order_status_returned_count_lag_14d
order_status_returned_count_lag_28d,order,source_lag,lagged,order_status_returned_count_lag_28d,low,fill_0,Generated candidate feature: order_status_returned_count_lag_28d
order_status_returned_count_lag_365d,order,source_lag,lagged,order_status_returned_count_lag_365d,low,fill_0,Generated candidate feature: order_status_returned_count_lag_365d
order_status_returned_count_rolling_7d_mean,order,source_lag,lagged,order_status_returned_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_returned_count_rolling_7d_mean
order_status_returned_count_rolling_28d_mean,order,source_lag,lagged,order_status_returned_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_returned_count_rolling_28d_mean
order_status_returned_count_rolling_90d_mean,order,source_lag,lagged,order_status_returned_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_returned_count_rolling_90d_mean
order_status_shipped_count_lag_1d,order,source_lag,lagged,order_status_shipped_count_lag_1d,low,fill_0,Generated candidate feature: order_status_shipped_count_lag_1d
order_status_shipped_count_lag_7d,order,source_lag,lagged,order_status_shipped_count_lag_7d,low,fill_0,Generated candidate feature: order_status_shipped_count_lag_7d
order_status_shipped_count_lag_14d,order,source_lag,lagged,order_status_shipped_count_lag_14d,low,fill_0,Generated candidate feature: order_status_shipped_count_lag_14d
order_status_shipped_count_lag_28d,order,source_lag,lagged,order_status_shipped_count_lag_28d,low,fill_0,Generated candidate feature: order_status_shipped_count_lag_28d
order_status_shipped_count_lag_365d,order,source_lag,lagged,order_status_shipped_count_lag_365d,low,fill_0,Generated candidate feature: order_status_shipped_count_lag_365d
order_status_shipped_count_rolling_7d_mean,order,source_lag,lagged,order_status_shipped_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_shipped_count_rolling_7d_mean
order_status_shipped_count_rolling_28d_mean,order,source_lag,lagged,order_status_shipped_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_shipped_count_rolling_28d_mean
order_status_shipped_count_rolling_90d_mean,order,source_lag,lagged,order_status_shipped_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_shipped_count_rolling_90d_mean
item_quantity_sum_lag_1d,item,source_lag,lagged,item_quantity_sum_lag_1d,low,fill_0,Generated candidate feature: item_quantity_sum_lag_1d
item_quantity_sum_lag_7d,item,source_lag,lagged,item_quantity_sum_lag_7d,low,fill_0,Generated candidate feature: item_quantity_sum_lag_7d
item_quantity_sum_lag_14d,item,source_lag,lagged,item_quantity_sum_lag_14d,low,fill_0,Generated candidate feature: item_quantity_sum_lag_14d
item_quantity_sum_lag_28d,item,source_lag,lagged,item_quantity_sum_lag_28d,low,fill_0,Generated candidate feature: item_quantity_sum_lag_28d
item_quantity_sum_lag_365d,item,source_lag,lagged,item_quantity_sum_lag_365d,low,fill_0,Generated candidate feature: item_quantity_sum_lag_365d
item_quantity_sum_rolling_7d_mean,item,source_lag,lagged,item_quantity_sum_rolling_7d_mean,low,fill_0,Generated candidate feature: item_quantity_sum_rolling_7d_mean
item_quantity_sum_rolling_28d_mean,item,source_lag,lagged,item_quantity_sum_rolling_28d_mean,low,fill_0,Generated candidate feature: item_quantity_sum_rolling_28d_mean
